Wavelength,N I,N II,N III,O I,O II,O III
252.9327,,,,,,2.294e+0
253.0279,,,,,5.223e-4,
253.4064,,,,,,1.818e+1
253.9467,,,,,,2.180e+0
254.2636,,,,,,1.004e+1
254.6409,,,,,,6.481e+0
254.7422,,,,,,2.238e+0
254.9595,,,,,,2.147e+0
255.8035,,,,,,7.060e+1
257.1457,,,,,3.541e-4,
257.5277,,,,,6.317e-4,
259.0938,,8.801e-4,,,,
259.7699,,,,,,3.762e+1
260.5424,,,,,,2.232e+1
260.959,,,,,,7.397e+0
262.152,,,1.515e+1,,,
262.2287,,,,,,6.039e+0
262.323,,,3.028e+1,,,
266.5684,,,,,,3.108e+1
267.458,,,,,,5.094e+1
267.7813,,,,,,6.954e+0
268.3658,,,,,,1.250e+1
268.6154,,,,,,7.036e+1
268.691,,,1.293e+2,,,
268.7547,,,,,,3.726e+1
268.921,,,1.934e+2,,,
269.5477,,,,,,6.133e+1
269.611,,,1.816e+1,,,
269.67,,,9.081e+0,,,
270.1035,,,,,,3.608e+0
270.9841,,2.563e-3,,,,
272.689,,,,,,1.016e+1
273.3294,,,,,2.006e-3,
273.436,,,6.487e+0,,,
273.4735,,1.980e-4,,,,
273.506,,,,,,6.021e+0
273.909,,,,,,1.996e+0
274.285,,,1.282e+1,,,
274.7367,,,,,9.851e-4,
277.196,,,,,,6.148e+0
279.4139,,,,,,2.843e+0
279.9218,,1.103e-3,,,,
280.8728,,,,,2.012e-4,
280.9659,,,,,,6.251e+0
282.3631,,1.066e-3,,,,
283.6308,,,,,,1.126e+1
284.575,,,,,,1.274e+1
284.893,,,,,,1.836e+1
285.375,,,,,,8.533e+0
286.252,,,,,,1.567e+0
286.26,,,,,,1.564e+0
288.3856,,,,3.852e-10,,
291.952,,,3.785e+0,,,
294.24,,,1.734e+1,,,
295.01,,,2.459e+1,,,
295.9695,,,,,,1.434e+2
297.255,,,3.264e+1,,,
297.733,,,1.622e+1,,,
297.884,,,1.623e+1,,,
298.364,,,8.042e+1,,,
298.3781,,,,,,2.093e+2
299.2081,,,,,,7.001e+0
299.648,,,,,,2.090e+1
299.7689,,,,,,7.215e+0
300.4344,,,,,,3.195e+1
300.683,,4.061e-3,,,,
300.8779,,,,,,6.862e+0
301.7615,,,,,,5.605e+1
302.3425,,,,,,4.967e+1
302.3669,,8.440e-4,,,,
302.4359,,,,,,6.978e+0
302.454,,,,,,3.837e+1
303.4219,,,,,,8.085e+0
303.5414,,,,,,2.849e+1
304.2993,,,,,,4.008e+1
304.71,,,,,,1.533e+2
305.9277,,,,,,5.370e+1
306.4975,,,,,,3.966e+0
306.8129,,,,,,3.949e+0
306.8667,,,,,,6.906e+0
307.4138,,,,,,7.822e+0
307.4715,,,,,,6.850e+0
307.5129,,,,,,4.888e+0
307.5954,,,,,,5.839e+0
307.813,,,,,,1.150e+1
308.3647,,,,,,1.356e+1
308.4644,,,,,,7.718e+0
308.8041,,,,,,2.881e+1
309.5795,,,,,,5.699e+0
311.307,,,1.118e+1,,,
311.5674,,,,,,1.948e+1
312.1633,,,,,,5.794e+1
312.2524,,,,,1.269e-3,
312.391,,,,,2.349e-4,
312.567,,,4.414e+0,,,
312.934,,,,,1.492e-3,
313.2794,,,,,,9.566e+1
313.4213,,,,,1.160e-3,
313.4726,,,,,5.553e-3,
313.8337,,,,,2.904e-3,
313.9678,,,,,1.152e-3,
319.8181,,,,,,2.540e+0
320.1139,,,,,,7.591e+0
320.2514,,,,,,2.625e+0
320.7609,,,,,,1.164e+1
321.0585,,,,,,2.507e+0
321.6074,,,,,,2.060e+1
321.933,,,6.223e+0,,,
322.1213,,,,,,2.569e+0
322.352,,,1.240e+1,,,
322.92,,,1.846e+1,,,
323.641,,,,,,5.487e+0
325.7087,,,,,,6.937e+0
326.0857,,,,,,1.675e+2
326.5329,,,,,,2.401e+2
326.5693,,,,,,6.868e+0
326.7204,,,,,,1.126e+2
326.7729,,,,,,5.149e+0
326.8949,,,,,,8.544e+0
327.0856,,,,,2.352e-3,
327.0905,,,,,1.680e-4,
327.3434,,,,,3.354e-3,
327.7561,,,,,8.723e-4,
328.1831,,,,,,2.050e+1
328.445,,,,,,2.039e+1
328.6414,,,,,,8.377e+0
328.7471,,,,,2.118e-3,
328.7647,,,,,,2.510e+1
329.4987,,,,,2.869e-4,
329.9385,,,,,,9.690e+0
330.1411,,,,,1.520e-4,
330.403,,,4.901e+1,,,
330.5003,,,,,8.267e-4,
330.6451,,,,,7.945e-4,
330.663,,,8.785e+1,,,
330.675,,,9.776e+0,,,
331.2329,,,,,,2.707e+1
331.627,,,4.337e+0,,,
331.674,,,4.334e+0,,,
