Wavelength,N I,N II,N III,O I,O II,O III
533.8729,,6.036e-4,,,,
534.0207,,6.032e-4,,,,
535.1232,,1.195e-3,,,,
535.246,,,3.149e+0,,,
543.5775,,,,3.006e-10,,
543.6862,,,,4.194e-10,,
545.207,,2.674e-4,,,,
545.4215,,3.356e-4,,,,
546.2581,,3.017e-4,,,,
547.5287,,1.718e-4,,,,
547.8086,,2.359e-4,,,,
548.005,,3.901e-4,,,,
549.5655,,1.198e-3,,,,
550.8242,,,,,,4.464e+0
552.6234,,6.196e-4,,,,
553.0242,,1.643e-3,,,,
553.5347,,3.154e-3,,,,
553.5383,,7.897e-4,,,,
554.0061,,3.502e-4,,,,
554.3471,,1.018e-3,,,,
555.1922,,8.103e-4,,,,
555.2677,,2.607e-4,,,,
556.0337,7.263e-10,,,,,
556.4265,8.206e-10,,,,,
556.5255,,1.147e-4,,,,
559.2252,,,,,,1.237e+1
563.172,,2.036e-4,,,,
566.663,,1.987e-3,,,,
567.602,,9.666e-4,,,,
567.956,,3.985e-3,,,,
568.621,,6.134e-4,,,,
571.077,,6.686e-4,,,,
573.9945,2.225e-10,,,,,
574.73,,1.857e-4,,,,
575.2499,4.190e-10,,,,,
582.057,,,4.657e+0,,,
584.794,,,8.217e+0,,,
589.315,,1.032e-3,,,,
589.725,,5.531e-4,,,,
589.983,,2.458e-4,,,,
591.033,,1.825e-4,,,,
591.407,,1.821e-4,,,,
592.781,,8.136e-4,,,,
593.178,,1.796e-3,,,,
594.024,,5.650e-4,,,,
594.165,,3.246e-3,,,,
595.239,,5.248e-4,,,,
595.428,,3.284e-4,,,,
595.8584,,,,2.684e-10,,
598.858,,,,,,7.722e-1
599.9431,3.565e-10,,,,,
600.8473,7.004e-10,,,,,
603.516,,,,,,1.109e+0
604.6438,,,,2.196e-10,,
607.759,,,,,,1.558e+0
613.689,,9.021e-5,,,,
615.075,,9.791e-5,,,,
615.256,,,,,8.970e-5,
615.5961,,,,3.221e-10,,
615.5971,,,,7.254e-10,,
615.5989,,,,5.643e-10,,
615.6737,,,,2.422e-10,,
615.6755,,,,9.404e-10,,
615.6778,,,,1.503e-9,,
615.8172,,,,7.513e-10,,
615.8187,,,,2.898e-9,,
616.775,,1.252e-3,,,,
617.016,,5.779e-4,,,,
617.331,,8.844e-4,,,,
621.4252,,,,,1.294e-4,
624.241,,9.795e-4,,,,
628.432,,1.077e-4,,,,
632.84,,1.401e-4,,,,
634.058,,6.957e-4,,,,
634.686,,1.358e-4,,,,
635.654,,3.757e-4,,,,
635.758,,1.748e-4,,,,
636.584,,,4.982e+0,,,
637.962,,1.107e-4,,,,
639.475,,,9.790e+0,,,
642.0641,2.458e-10,,,,,
644.0938,4.843e-10,,,,,
644.534,,,4.540e+0,,,
645.079,,,4.517e+0,,,
645.3602,,,,3.358e-10,,
645.408,,,1.140e+1,,,
645.4444,,,,5.595e-10,,
645.5977,,,,7.831e-10,,
646.309,,,5.755e+0,,,
646.702,,,2.147e+1,,,
647.876,,,4.808e+0,,,
648.1706,6.222e-10,,,,,
648.205,,7.986e-4,,,,
648.2699,2.219e-9,,,,,
648.3753,9.981e-10,,,,,
648.4808,1.522e-9,,,,,
649.1222,2.482e-10,,,,,
649.9518,3.201e-10,,,,,
650.461,,2.388e-4,,,,
650.6302,2.496e-10,,,,,
650.755,,,,,,4.233e+0
651.591,,,3.526e+0,,,
653.256,,1.167e-4,,,,
656.02,,1.202e-4,,,,
656.176,,1.490e-4,,,,
656.42,,1.466e-4,,,,
656.5283,,,,,5.495e-4,
657.1108,,,,,3.835e-4,
658.26,,8.934e-5,,,,
659.567,,1.193e-4,,,,
661.056,,3.133e-3,,,,
661.362,,4.449e-4,,,,
662.2543,2.119e-10,,,,,
662.7373,,,,,2.186e-4,
662.979,,5.110e-4,,,,
663.479,,1.483e-4,,,,
663.6938,2.491e-10,,,,,
664.1031,,,,,1.083e-4,
664.4962,9.294e-10,,,,,
664.6503,1.937e-10,,,,,
665.3458,4.863e-10,,,,,
665.6509,1.926e-10,,,,,
670.0494,2.626e-10,,,,,
670.4839,2.616e-10,,,,,
670.6107,6.585e-10,,,,,
670.8759,3.339e-10,,,,,
671.7754,,,,,8.299e-5,
672.1388,,,,,1.960e-4,
672.261,1.242e-9,,,,,
672.3453,2.800e-10,,,,,
676.961,2.087e-10,,,,,
680.998,,4.201e-4,,,,
683.409,,2.954e-4,,,,
684.6804,,,,,7.998e-5,
684.723,,1.065e-4,,,,
685.703,,2.752e-4,,,,
686.9475,,,,,1.011e-4,
686.958,,4.544e-4,,,,
688.4881,,,,,7.698e-5,
688.783,,6.297e-4,,,,
689.5102,,,,,6.814e-4,
690.6436,,,,,4.659e-4,
690.7873,,,,,1.900e-4,
691.0562,,,,,3.045e-4,
692.667,1.980e-10,,,,,
694.175,,8.383e-5,,,,
694.5177,4.663e-10,,,,,
695.16,1.750e-10,,,,,
698.2025,1.726e-10,,,,,
700.1922,,,,4.922e-10,,
700.223,,,,9.178e-10,,
700.225,,,,2.184e-10,,
711.0078,,,,,2.391e-4,
712.8865,,,,,1.317e-4,
713.885,,9.510e-5,,,,
715.6701,,,,7.740e-9,,
719.025,,,,,,8.236e-1
725.4154,,,,2.424e-10,,
725.4448,,,,4.037e-10,,
728.0251,,,,,7.952e-5,
730.685,,,,,,2.022e+0
730.712,,,,,,2.537e+0
736.535,,,,,,1.469e+0
736.6146,2.088e-10,,,,,
737.8513,3.103e-10,,,,,
740.454,,,2.355e+0,,,
740.6122,3.616e-10,,,,,
740.6239,5.165e-10,,,,,
741.404,,,,,,1.913e+0
742.3641,1.055e-9,,,,,
744.2298,2.221e-9,,,,,
745.536,,,,,,7.001e+0
746.8312,3.646e-9,,,,,
751.599,,,,,,2.260e+0
753.0611,,,,,9.519e-5,
754.6209,2.225e-10,,,,,
755.0914,2.791e-10,,,,,
758.7571,1.635e-10,,,,,
771.095,,,,,,7.792e-1
776.224,,2.768e-4,,,,
777.1944,,,,1.058e-8,,
777.4166,,,,7.553e-9,,
777.5388,,,,4.531e-9,,
782.068,,,,,,9.184e-1
783.237,,,,,,2.743e+0
783.938,,,,,,4.553e+0
784.794,,,,,,1.020e+0
787.354,,,,,,1.558e+0
789.3976,1.828e-10,,,,,
789.763,,3.094e-4,,,,
789.8982,4.089e-9,,,,,
789.9284,4.755e-10,,,,,
791.5419,2.265e-9,,,,,
796.332,,,,,,2.652e+0
812.9172,1.694e-10,,,,,
816.6233,2.791e-9,,,,,
816.6557,1.985e-10,,,,,
817.215,,,,,,6.806e+0
818.4861,2.122e-9,,,,,
818.8012,2.154e-9,,,,,
820.0357,4.027e-10,,,,,
820.1437,1.952e-10,,,,,
820.1763,1.756e-9,,,,,
821.0715,8.987e-10,,,,,
821.6336,5.819e-9,,,,,
822.1798,,,,7.064e-10,,
822.1824,,,,5.626e-9,,
822.3128,2.248e-9,,,,,
822.7653,,,,6.778e-10,,
823.0001,,,,3.140e-9,,
823.0026,,,,7.040e-10,,
823.3003,,,,2.025e-9,,
823.5354,,,,6.747e-10,,
824.2389,2.242e-9,,,,,
828.83,,,,,9.248e-5,
834.27,,,,,1.074e-4,
834.495,,,1.725e+0,,,
835.886,,,,,,5.657e+0
837.5844,,,,,3.949e-4,
838.177,,,,,8.203e-5,
838.639,,,4.224e+0,,,
840.3379,,,,,2.043e-4,
841.588,,,,,8.081e-5,
843.874,,3.310e-4,,,,
844.6247,,,,1.184e-9,,
844.6359,,,,5.918e-9,,
844.6758,,,,3.550e-9,,
856.7735,7.777e-10,,,,,
859.4,1.668e-9,,,,,
860.433,,9.792e-5,,,,
862.9235,4.242e-9,,,,,
865.5748,7.324e-10,,,,,
865.5878,8.478e-10,,,,,
866.045,,9.565e-5,,,,
866.6935,4.046e-10,,,,,
867.609,,5.303e-4,,,,
868.0282,8.287e-9,,,,,
868.3403,4.620e-9,,,,,
868.6149,1.884e-9,,,,,
869.49,,1.256e-4,,,,
869.899,,2.817e-4,,,,
870.3247,1.767e-9,,,,,
871.1703,2.107e-9,,,,,
871.8837,1.601e-9,,,,,
872.8901,3.058e-10,,,,,
874.7369,1.570e-10,,,,,
882.0423,,,,5.271e-9,,
889.329,,4.503e-5,,,,
893.003,,9.758e-5,,,,
898.618,,2.851e-4,,,,
899.93,,,,,,8.317e-1
901.042,,7.545e-5,,,,
902.8922,2.232e-9,,,,,
903.204,,5.606e-5,,,,
904.5878,7.232e-9,,,,,
904.9492,3.641e-10,,,,,
904.9889,5.035e-9,,,,,
906.0475,4.464e-9,,,,,
906.951,,7.376e-5,,,,
908.948,,9.113e-5,,,,
911.614,,,,,,6.736e+0
911.94,,,,,,5.212e-1
912.138,,,,,,5.198e-1
913.329,,,,,,9.667e+0
917.421,,,,,,4.449e+0
918.7453,4.664e-9,,,,,
918.7863,3.364e-10,,,,,
920.7592,3.434e-10,,,,,
920.8003,2.963e-9,,,,,
921.706,,7.967e-5,,,,
922.134,,,,,,7.593e-1
922.521,,,,,,1.254e+0
922.647,,,,,,5.157e-1
923.074,,,3.024e+0,,,
924.021,,,3.239e+0,,,
924.508,,,,,,7.761e-1
924.812,,,,,,5.106e-1
926.0806,,,,1.341e-9,,
926.0848,,,,3.012e-9,,
926.0936,,,,2.345e-9,,
926.2582,,,,1.001e-9,,
926.267,,,,3.907e-9,,
926.2776,,,,6.248e-9,,
926.545,,,,,,7.937e-1
926.553,,,,,,2.476e-1
926.5826,,,,4.462e-10,,
926.5932,,,,3.113e-9,,
926.6006,,,,1.203e-8,,
928.552,,,9.456e-1,,,
929.14,,,,,,7.843e-1
931.111,,,,,,9.941e-1
932.423,,,2.906e+0,,,
932.577,,4.569e-5,,,,
934.21,,,7.267e+0,,,
936.121,1.563e-10,,,,,
937.53,,,,,,7.103e-1
938.212,2.231e-9,,,,,
938.6805,3.151e-9,,,,,
938.806,,,,,,1.460e+0
938.842,,,3.052e+0,,,
939.2793,5.560e-9,,,,,
940.246,,,1.246e+1,,,
942.453,,,6.171e+0,,,
946.0676,5.474e-10,,,,,
947.571,,,,,,7.035e-1
948.2888,,,,1.695e-9,,
956.512,,,,,,6.682e-1
959.456,,,,,2.318e-4,
961.18,,,,,1.283e-4,
963.164,,,3.573e+0,,,
968.614,,,6.288e+0,,,
977.69,1.796e-10,,,,,
978.678,2.268e-10,,,,,
978.829,2.454e-10,,,,,
979.856,4.262e-10,,,,,
981.001,3.465e-10,,,,,
981.4021,1.789e-10,,,,,
982.275,1.099e-9,,,,,
982.5789,,,,3.681e-10,,
982.5872,,,,2.517e-10,,
982.5991,,,,1.610e-10,,
983.461,5.738e-10,,,,,
986.3334,2.619e-9,,,,,
987.215,5.659e-10,,,,,
989.1647,,,,1.340e-10,,
989.1715,,,,1.980e-10,,
989.1803,,,,2.858e-10,,
990.706,,,,,7.907e-5,
993.147,2.555e-10,,,,,
994.7066,1.540e-10,,,,,
1000.3041,2.620e-10,,,,,
1001.7826,2.014e-10,,,,,
1005.4277,1.541e-10,,,,,
1010.5132,3.502e-9,,,,,
1010.8892,5.642e-9,,,,,
1011.2481,8.487e-9,,,,,
1011.464,1.212e-8,,,,,
1011.874,,,,,,5.398e+0
1012.8279,1.223e-9,,,,,
1014.49,,,1.189e+0,,,
1014.7267,1.362e-9,,,,,
1016.4848,9.483e-10,,,,,
1021.15,4.622e-10,,,,,
1023.81,8.105e-10,,,,,
1025.134,,,,,,9.304e-1
1025.278,,,,,,2.087e+0
1026.78,,,1.701e+0,,,
1032.177,,,,,,3.791e+0
1036.687,,,,,,6.672e-1
1037.63,2.013e-9,,,,,
1038.24,2.207e-10,,,,,
1040.19,2.218e-10,,,,,
1040.81,3.085e-9,,,,,
1050.027,7.811e-10,,,,,
1050.7,2.363e-9,,,,,
1051.341,1.139e-9,,,,,
1052.058,1.895e-9,,,,,
1053.377,4.495e-10,,,,,
1053.9575,6.043e-9,,,,,
1054.675,,2.827e-4,,,,
1054.702,,,,,,6.217e-1
1054.964,2.193e-9,,,,,
1056.333,3.953e-10,,,,,
1058.46,2.032e-10,,,,,
1059.6,2.913e-10,,,,,
1062.319,3.192e-10,,,,,
1064.398,3.982e-10,,,,,
1065.304,1.065e-9,,,,,
1067.27,1.095e-10,,,,,
1067.5668,,,,6.053e-10,,
1067.5766,,,,5.295e-10,,
1067.5906,,,,2.649e-10,,
1067.6023,,,,1.544e-10,,
1068.91,2.172e-10,,,,,
1069.04,,,1.207e+0,,,
1071.3548,1.260e-9,,,,,
1071.796,4.395e-10,,,,,
1073.0509,2.267e-10,,,,,
1075.3417,,,,2.201e-10,,
1075.3498,,,,3.259e-10,,
1075.3602,,,,4.730e-10,,
1075.7887,6.869e-10,,,,,
1078.68,4.180e-9,,,,,
1090.746,,1.360e-4,,,,
1098.87,1.937e-9,,,,,
1104.481,,8.029e-5,,,,
1122.709,3.914e-10,,,,,
1123.544,,,,,,5.364e-1
1125.73,3.991e-10,,,,,
1126.489,,,,,,1.194e+0
1126.621,5.183e-10,,,,,
1128.6317,,,,2.859e-9,,
1128.6406,,,,9.538e-10,,
1128.6914,,,,5.331e-9,,
1128.7029,,,,9.537e-10,,
1128.7318,,,,1.272e-9,,
1129.167,2.031e-9,,,,,
1129.426,4.343e-10,,,,,
1129.5103,,,,6.741e-10,,
1129.7682,,,,1.123e-9,,
1130.2378,,,,1.577e-9,,
1131.389,1.127e-9,,,,,
1132.159,,,,,,2.186e+0
1132.318,4.613e-10,,,,,
1134.914,,,,,,3.869e-1
1156.6114,2.786e-10,,,,,
1159.3,,,1.354e+0,,,
1162.5171,1.685e-10,,,,,
1176.25,1.037e-9,,,,,
1176.86,1.474e-9,,,,,
1199.8349,5.437e-10,,,,,
