Wavelength,H I,O I,O II,O III
340.7223,,,9.199e-5,
340.7276,,,1.291e-3,
340.8131,,,,6.710e-19
340.9706,,,8.240e-4,
340.976,,,9.159e-5,
341.5262,,,,5.034e-19
342.3364,,,,2.680e-21
342.7364,,,,5.954e-21
342.8626,,,,8.359e-19
343.0568,,,,8.249e-19
343.5123,,,,1.985e-21
344.0363,,,,1.086e-20
344.4052,,,,2.467e-18
344.6682,,,,1.777e-21
344.7155,,,,8.923e-22
344.7924,,,,1.944e-21
344.7968,,,,3.026e-21
345.0907,,,,4.659e-21
345.1305,,,,8.880e-22
345.4835,,,,1.258e-21
345.4986,,,,6.716e-21
345.7933,,,8.776e-5,
345.8923,,,6.289e-5,
345.948,,,,1.253e-22
345.9935,,,,1.302e-21
346.6128,,,,9.149e-22
346.685,,,,1.241e-22
347.0277,,,4.738e-3,
347.0672,,,7.329e-3,
352.0945,,,,1.194e-21
353.1223,,,,1.175e-21
353.3385,,,,8.803e-22
353.4904,,,,1.469e-21
355.5241,,,,1.435e-21
355.6779,,,,4.287e-21
362.741,,,9.361e-6,
369.5162,,,,9.916e-22
369.5375,,,,2.474e-20
369.8718,,,,6.494e-20
370.2743,,,,2.353e-18
370.3355,,,,1.228e-19
370.4749,,,,3.176e-20
370.7272,,,,5.244e-18
370.9543,,,,1.407e-20
371.2493,,,,4.047e-20
371.2744,,,7.343e-2,
371.4028,,,,1.748e-18
371.5086,,,,9.623e-18
372.089,,,,3.169e-20
372.1954,,,,1.038e-20
372.5313,,,,1.713e-18
372.7319,,,1.500e-1,
372.8506,,,,1.297e-21
372.8838,,,,1.844e-21
372.9221,,,1.881e-4,
372.9802,,,,8.869e-22
373.483,,,,4.517e-21
373.5786,,,3.372e-4,
373.9761,,,4.294e-3,
374.164,,,1.111e-4,
374.2632,,,,1.623e-22
374.6899,,,,1.591e-22
374.9484,,,2.372e-1,
375.4696,,,,3.288e-16
375.7232,,,,1.481e-16
375.9875,,,,5.816e-16
376.1403,,,8.214e-5,
376.2465,,,3.030e-3,
377.4026,,,,1.037e-16
377.742,,,1.110e-3,
378.498,,,9.556e-6,
379.1275,,,,9.687e-17
379.4359,,,5.329e-4,
380.2984,,,2.643e-3,
381.6751,,,,2.027e-19
382.1532,,,1.062e-3,
383.0281,,,5.238e-4,
383.53909,3.892e+4,,,
384.28138,,,1.634e-3,
384.35832,,,1.064e-3,
384.7893,,,1.885e-3,
385.07987,,,1.023e-3,
385.10332,,,3.049e-3,
385.14735,,,1.063e-3,
385.5014,,2.249e+3,,
385.61342,,,2.465e-3,
385.71642,,,1.967e-3,
386.34969,,,2.393e-3,
386.44309,,,6.176e-3,
386.46671,,,3.818e-3,
387.57997,,,1.004e-3,
388.21937,,,2.028e-2,
388.24457,,,1.826e-3,
388.31368,,,3.192e-3,
388.90557,5.778e+4,,,
390.3044,,,,3.939e-22
390.74549,,,2.654e-3,
391.1958,,,2.212e-2,
391.2117,,,2.861e-3,
391.9272,,,1.243e-2,
393.1351,,,,3.957e-22
393.4823,,,,2.132e-21
394.4854,,,,5.252e-22
394.50376,,,3.909e-2,
394.8012,,,,1.169e-21
395.43617,,,8.376e-2,
396.1573,,,,6.661e-18
396.2963,,,1.055e-4,
397.00788,9.165e+4,,,
397.3256,,,1.970e-1,
398.27141,,,4.037e-2,
399.7953,,2.158e+3,,
406.9623,,,3.226e-2,
406.98819,,,5.010e-2,
407.21525,,,7.997e-2,
407.2643,,,,3.736e-21
407.3984,,,,8.290e-21
407.58617,,,1.091e-1,
407.88424,,,1.181e-2,
408.102,,,,1.511e-20
408.46474,,,2.682e-3,
408.51124,,,1.454e-2,
408.9295,,,,2.749e-21
409.29287,,,1.089e-2,
409.6526,,,4.863e-3,
409.72249,,,7.146e-3,
410.17415,1.597e+5,,,
410.29994,,,5.030e-3,
410.3066,,,,2.683e-21
410.47235,,,9.286e-3,
410.49899,,,1.797e-2,
411.0192,,,3.853e-4,
411.07863,,,7.596e-3,
411.20186,,,5.069e-3,
411.3834,,,5.477e-4,
411.92165,,,5.208e-2,
412.02783,,,6.327e-3,
412.05468,,,5.531e-3,
412.14626,,,5.342e-3,
412.1591,,,,3.546e-22
412.93198,,,1.571e-3,
413.28004,,,1.612e-2,
415.32977,,,2.104e-2,
415.65302,,,3.701e-3,
416.92236,,,7.168e-3,
417.1768,,,,2.104e-22
418.544,,,6.007e-3,
418.9581,,,2.218e-4,
418.9788,,,7.777e-3,
419.2512,,,4.352e-4,
419.6697,,,2.411e-4,
427.7695,,,1.064e-4,
427.9165,,,5.944e-5,
431.7139,,,1.349e-1,
431.963,,,1.347e-1,
431.9866,,,2.947e-4,
432.5761,,,2.612e-2,
432.746,,,1.460e-3,
432.7849,,,1.043e-4,
432.8591,,,5.860e-4,
433.1466,,,1.040e-4,
433.1857,,,9.355e-4,
433.6859,,,5.582e-2,
434.0471,3.218e+5,,,
434.556,,,1.456e-1,
434.7217,,,2.984e-3,
434.7413,,,2.337e-2,
434.9426,,,3.641e-1,
435.126,,,3.726e-2,
435.1457,,,2.193e-3,
435.6794,,,,3.502e-20
436.6895,,,1.420e-1,
436.9272,,,5.140e-3,
437.5876,,,,1.887e-20
439.5935,,,8.339e-3,
441.4899,,,3.017e-1,
441.6975,,,1.740e-1,
444.0093,,,,2.286e-22
444.301,,,1.332e-3,
444.7694,,,,3.804e-22
444.8191,,,1.792e-3,
445.2378,,,3.303e-2,
446.1607,,,,5.307e-22
446.6235,,,1.265e-3,
446.7465,,,6.326e-4,
449.337,,,,9.680e-23
450.664,,,,6.713e-23
451.3827,,,,4.565e-23
452.4222,,,,4.507e-23
453.2785,,,,5.628e-23
453.5285,,,,3.375e-23
453.8851,,,,4.496e-23
455.5387,,,,1.683e-22
455.773,,,3.457e-5,
455.7913,,,,5.586e-23
455.894,,,1.926e-5,
456.926,,,,1.312e-21
458.7721,,,,4.106e-22
459.0974,,,4.890e-2,
459.5957,,,2.022e-3,
459.6177,,,3.462e-2,
461.0608,,,,1.209e-21
463.0773,,,,3.291e-22
463.88558,,,1.503e-1,
464.18103,,,3.609e-1,
464.91347,,,6.339e-1,
464.9973,,,,2.430e-22
465.08384,,,1.400e-1,
466.16324,,,1.673e-1,
466.8875,,,,3.216e-22
467.3487,,,,3.958e-22
467.37331,,,2.579e-2,
467.6235,,,1.255e-1,
469.0888,,,2.254e-4,
469.1419,,,4.502e-4,
469.8437,,,1.644e-4,
469.9011,,,3.287e-3,
469.9218,,,2.294e-2,
470.1179,,,1.116e-3,
470.1712,,,2.231e-4,
470.3161,,,2.293e-3,
470.5346,,,3.614e-2,
471.0009,,,7.330e-3,
474.1704,,,1.231e-3,
475.1278,,,2.076e-3,
476.463,,,,4.590e-24
477.3753,,1.902e+4,,
485.6389,,,1.331e-3,
485.6762,,,1.591e-3,
486.0965,,,6.028e-4,
486.1333,8.310e+5,,,
487.1523,,,1.075e-3,
487.2017,,,1.195e-4,
489.0856,,,4.100e-3,
490.683,,,7.724e-3,
492.4529,,,1.323e-2,
494.1072,,,7.690e-3,
494.3005,,,1.495e-2,
495.5707,,,2.298e-3,
496.7884,,1.898e+4,,
496.8794,,3.672e+4,,
502.0218,,1.628e+4,,
508.8922,,,,3.720e-23
515.9941,,,2.115e-3,
517.5903,,,9.868e-4,
519.0498,,,1.613e-3,
520.6651,,,4.539e-3,
526.8301,,,,5.338e-19
532.9099,,2.161e+4,,
532.9681,,2.803e+4,,
532.969,,4.495e+4,,
533.0735,,2.240e+4,,
533.0741,,8.651e+4,,
543.5775,,2.348e+4,,
543.6862,,3.275e+4,,
550.8242,,,,6.986e-19
559.2252,,,,8.391e-17
595.8584,,2.007e+4,,
598.858,,,,5.269e-23
603.516,,,,7.526e-23
604.6438,,1.687e+4,,
607.759,,,,1.049e-22
615.256,,,5.692e-5,
615.5961,,3.199e+4,,
615.5971,,7.204e+4,,
615.5989,,5.604e+4,,
615.6737,,2.405e+4,,
615.6755,,9.339e+4,,
615.6778,,1.493e+5,,
615.8172,,7.461e+4,,
615.8187,,2.878e+5,,
621.4252,,,8.208e-5,
645.3602,,3.625e+4,,
645.4444,,6.041e+4,,
645.5977,,8.455e+4,,
650.755,,,,1.231e-21
656.2819,3.513e+6,,,
656.5283,,,7.442e-4,
657.1108,,,5.297e-4,
662.7373,,,2.854e-4,
664.1031,,,2.043e-2,
671.7754,,,1.094e-4,
672.1388,,,3.699e-2,
684.6804,,,1.378e-4,
686.9475,,,1.766e-4,
688.4881,,,1.358e-4,
689.5102,,,1.174e-3,
690.6436,,,8.142e-4,
690.7873,,,3.371e-4,
691.0562,,,5.373e-4,
700.1922,,4.864e+4,,
700.223,,9.071e+4,,
700.225,,2.159e+4,,
711.0078,,,3.122e-4,
712.8865,,,1.737e-4,
