Wavelength,Ar I,Ar II,Ar III
617.0174,1.394e-16,,
617.227751,,1.459e-9,
617.3096,1.871e-16,,
621.2503,1.514e-16,,
621.5939,1.559e-16,,
629.6873,2.430e-16,,
630.7657,1.643e-16,,
641.6307,3.218e-16,,
663.822027,,7.207e-10,
664.369734,,1.563e-9,
668.429254,,8.437e-10,
675.2834,5.137e-16,,
687.1289,4.377e-16,,
693.7664,1.604e-16,,
696.543,1.141e-15,,
703.0251,6.760e-16,,
706.7217,1.116e-15,,
706.8735,3.019e-16,,
720.698,3.608e-16,,
727.2935,3.126e-16,,
731.1716,2.481e-16,,
731.6005,1.376e-16,,
735.33,3.272e-16,,
737.2117,8.325e-16,,
738.398,2.389e-15,,
743.5368,2.155e-16,,
750.3868,2.446e-15,,
751.4651,2.216e-15,,
758.93149,,4.751e-10,
763.5105,6.748e-15,,
772.376,8.511e-16,,
772.4207,1.882e-15,,
789.1075,2.164e-16,,
794.8176,2.920e-15,,
800.6156,1.287e-15,,
801.4785,2.459e-15,,
805.3308,1.155e-16,,
810.3692,3.900e-15,,
811.5311,1.209e-14,,
826.4521,2.300e-15,,
840.8209,5.505e-15,,
842.4647,5.408e-15,,
852.1441,2.035e-15,,
860.5776,2.172e-16,,
862.046,1.154e-16,,
866.7943,3.544e-16,,
876.1686,1.949e-16,,
912.2967,2.684e-15,,
919.4638,2.167e-16,,
922.4498,1.140e-15,,
929.1532,1.326e-16,,
935.4218,1.432e-16,,
965.7786,7.244e-16,,
978.4502,3.184e-16,,
1047.0053,1.213e-16,,
1047.8034,2.680e-16,,
1050.6118,2.612e-16,,
1050.65,3.657e-16,,
1067.3566,8.826e-16,,
1107.8868,1.420e-16,,
1144.1832,1.375e-16,,
1158.0389,9.342e-17,,
1166.8709,6.093e-16,,
1171.9487,9.292e-17,,
1194.3302,6.813e-16,,
1194.3871,4.088e-16,,
